# x_coordinate,y_coordinate
-0.034820,0.812038
0.568141,-0.510692
-0.392895,-0.694704
2.049783,-0.487991
-0.441404,0.623257
-1.187001,0.650859
1.473527,0.611779
2.684610,0.282923
-0.214732,0.807651
1.687541,0.871677
2.789190,-0.108441
-1.806922,-0.155594
-0.751732,0.267584
0.696210,0.930613
-0.528858,-0.101351
2.624443,0.532877
-0.539150,-0.286130
-0.628260,0.508051
0.191725,-0.796269
1.981470,-0.091277
2.288683,0.063453
1.962652,0.013013
1.363134,0.518973
2.118121,-0.045287
-1.921529,0.073767
-1.444439,-0.795283
1.753706,-0.279040
1.754322,-0.462212
-0.312383,0.489252
1.847663,-0.920165
1.963289,-0.684236
1.145664,-0.090108
2.042306,-0.588175
1.185910,-0.332177
2.162678,-0.011507
-0.594103,0.840247
2.814777,-0.069301
0.938729,-0.176776
-1.508094,-0.667748
2.727497,-0.842831
-1.900103,0.906811
-1.522750,0.478760
-0.031681,0.950575
1.347400,-0.576867
0.860929,-0.604485
0.760754,0.773263
2.575178,0.443916
2.464654,-0.064448
0.296648,0.428310
-0.891790,0.775443
-0.365170,-0.784789
1.568056,-0.905024
2.952439,-0.413458
2.344725,0.386264
2.883347,-0.227746
2.275392,0.569103
2.038354,-0.652259
-0.745654,0.291650
-1.458870,0.276833
-1.890654,0.555451
-0.329407,0.247022
0.370351,-0.668663
1.001625,-0.500014
2.243755,0.951132
2.009724,-0.178077
1.879811,-0.440939
1.801074,-0.545053
1.218370,-0.014580
2.518230,0.192196
0.066966,-0.362703
-1.486847,0.121440
0.224976,-0.769931
-1.773842,0.908790
1.471738,0.138438
2.436819,-0.832893
2.277956,0.107927
2.468774,0.351691
-1.003564,0.950156
-1.950912,0.556202
-1.736753,-0.209136
0.678579,-0.396397
1.655250,-0.640481
-0.534640,0.329729
2.386596,-0.312799
2.609455,0.642707
-1.111844,0.161120
0.565599,-0.699132
-1.954612,0.617743
2.269907,-0.401857
-1.806038,0.353393
2.545105,0.186228
1.159428,0.829613
-1.147336,-0.799568
1.422465,0.945172
-1.098165,0.841217
2.020475,-0.521620
2.927886,-0.197406
-0.255623,-0.062355
1.653297,-0.251498
2.945296,-0.189248
-1.840259,0.932383
2.860898,-0.250615
1.560353,0.580100
2.899178,-0.679240
1.425004,0.064300
2.243033,0.342482
1.538675,-0.976792
2.780741,-0.128717
-0.341624,0.431735
-0.312144,-0.322250
-0.871111,0.711699
0.268413,-0.615494
0.144817,0.201860
0.420752,0.375844
2.527071,-0.794946
2.485314,-0.794976
1.759854,0.397713
-1.212993,0.504054
-0.350020,0.531129
-0.029622,0.586742
-1.466836,0.825681
1.691819,0.833378
1.552291,-0.141316
1.052002,-0.067523
1.263089,-0.061601
2.876493,-0.737866
1.125572,-0.050656
2.546750,0.019546
1.220575,-0.209315
-1.637734,-0.528808
0.824755,0.514528
1.641106,-0.507010
-0.150037,-0.847775
-0.804735,0.852653
0.162626,-0.706202
1.371669,0.051428
2.779194,0.310634
-1.854248,0.294737
0.015829,0.879142
-1.584876,-0.509557
-0.593844,-0.347231
-0.607896,-0.358233
1.665728,-0.812274
2.919032,0.658718
-1.595064,-0.465995
1.105914,-0.787953
1.398162,0.007589
-1.492917,0.261463
0.931667,-0.180197
0.417937,0.368600
1.311506,-0.920170
0.295568,-0.788251
1.109685,-0.182102
-1.045527,0.690736
-0.199433,0.441197
2.938376,0.828959
2.804989,0.734711
2.479575,-0.314045
1.166716,0.478123
2.278220,-0.662538
1.336480,0.949222
-0.818863,-0.482827
-1.491139,-0.823539
2.885724,0.530268
-1.858285,-0.447588
-1.606629,0.539434
1.318949,0.309766
2.243263,-0.986868
2.270914,-0.116614
2.532244,0.947617
-1.169812,0.418022
2.630770,-0.303414
0.204257,0.605836
-1.970777,0.530535
-0.145482,0.562291
0.240131,-0.566327
2.900749,-0.206901
0.788401,0.620402
0.103516,0.477426
2.772183,0.778489
-0.815619,0.736545
-1.866545,0.771520
0.370276,-0.252675
-0.406325,0.636488
2.056309,0.797263
-1.040868,-0.634144
0.858237,-0.244311
1.357393,0.782510
0.675008,-0.580674
1.554070,-0.838533
-0.126443,0.835374
-0.570714,0.214686
0.018359,0.345097
2.563454,-0.426850
1.427169,0.081791
0.331904,0.738816
2.675663,0.451125
-0.036264,0.258024
2.709160,-0.422341
-1.327320,0.988051
-1.367979,0.756607
2.282141,-0.600089
0.921457,-0.919834
0.108363,-0.282212
1.214386,-0.411861
-0.003713,0.609623
0.565014,-0.569921
2.414953,0.371226
1.504644,-0.246271
0.383198,0.494160
2.910621,-0.141704
2.380833,-0.152362
-0.871514,0.185811
0.412767,0.775761
-1.656812,-0.126184
-0.596462,-0.251137
-1.224184,0.717378
0.008042,0.443807
2.857395,-0.723427
-0.765245,-0.931040
-0.135632,0.695160
-0.363951,-0.937911
2.042900,-0.066052
0.950730,0.507925
1.694987,-0.314511
-0.156807,0.376038
1.536705,-0.113811
-1.124965,-0.042980
2.039566,0.606985
-1.797467,0.573583
-0.547247,-0.614915
-1.391104,-0.451870
-0.856874,0.076115
1.077188,0.885525
0.995730,-0.752344
-0.055168,-0.658712
2.341973,-0.037056
0.255255,-0.416051
-1.304322,0.878494
2.745769,-0.552133
1.071259,-0.394382
1.937479,0.625326
-1.593587,0.309898
1.533895,0.649157
-0.436593,-0.940198
-0.194309,0.146955
0.310498,-0.739217
-1.631493,0.725407
1.240582,0.087327
2.158556,-0.300395
1.995748,0.862764
1.168798,-0.236607
2.416371,0.605823
-1.352008,0.416831
-1.021121,0.111442
-1.668395,-0.221577
-0.709785,0.722033
0.317857,0.357269
0.491067,0.149295
2.241259,-0.262589
0.269764,0.395580
-0.013847,-0.601164
2.300491,-0.948126
1.572253,-0.809031
2.500113,-0.337119
-1.261689,0.715550
2.548021,-0.762537
2.035730,-0.402636
1.548598,0.280668
1.355993,-0.946435
-1.925051,0.687179
-1.950607,0.693269
2.526983,0.946842
2.308211,-0.376255
1.725892,-0.212918
0.507736,-0.487552
2.316579,-0.101799
-0.619936,-0.203587
1.476028,-0.505302
-0.947369,-0.831844
-1.232151,0.649962
1.146838,-0.511009
2.677529,-0.758848
-0.303983,0.420189
1.586039,-0.984857
-1.733772,-0.092740
2.507590,-0.563679
-1.728482,-0.767305
-0.282753,-0.613672
0.492357,0.535750
-0.155040,0.262391
1.351342,-0.128408
2.886267,-0.410924
-1.089769,-0.318871
-1.436901,0.377083
1.712912,-0.492547
-1.959397,-0.959698
-1.720860,-0.106213
-0.396084,0.829083
2.615882,0.910288
-1.554116,0.111382
-1.934426,0.520531
-1.228717,0.700515
-0.597789,0.285191
-1.762058,-0.994344
-1.426687,0.712061
-0.021147,0.425897
-0.216850,-0.114605
1.434165,-0.762542
-1.538970,-0.809602
-1.857167,-0.090377
2.723341,0.875817
-1.471926,-0.313776
-0.822008,0.013353
-1.418399,0.832181
-0.830310,-0.254141
-0.975309,-0.323497
1.712633,0.662978
2.129164,0.635233
0.966480,0.539285
-0.753815,0.381243
-0.053589,0.421991
2.330120,-0.825306
-0.879775,-0.803861
1.925730,0.217319
1.973174,0.527428
2.051679,-0.398011
1.961581,0.135724
-1.863277,-0.060679
1.022185,0.250843
-1.275900,-0.086491
-1.088681,-0.975498
0.964020,0.370600
0.029974,0.591480
1.379174,0.838472
2.105355,0.960647
0.069138,-0.327359
0.975767,0.044901
0.446563,0.645016
2.140334,0.795756
-0.090238,-0.062709
0.099747,-0.178406
-1.931999,0.830834
-0.695725,0.797284
0.728754,0.923381
1.738254,-0.133304
-0.148951,-0.858254
-1.360045,-0.416558
-0.062235,-0.931451
1.492215,-0.621622
1.928935,-0.514320
2.231941,0.926354
1.565100,0.972183
1.006477,0.472765
-1.414433,-0.225364
0.630633,-0.271866
2.005107,-0.977570
2.766488,0.049752
-0.244377,-0.999283
2.939292,0.885648
2.536345,0.205090
1.919806,-0.960103
0.756386,-0.298719
1.736377,-0.028728
-1.488243,-0.671267
1.831192,0.536633
-0.615956,0.563378
-0.514255,0.692849
0.844667,-0.351806
1.585879,0.059766
1.906504,-0.836563
-1.871907,-0.228765
1.339442,-0.460435
1.614049,-0.319454
0.880046,0.738606
-0.875153,-0.898923
2.544555,-0.800516
2.303740,-0.044528
-0.339178,0.581439
-0.507854,-0.215059
-1.714700,0.185783
0.452733,-0.470695
-0.144998,0.691224
2.142494,0.159753
0.517811,0.868853
-1.712370,-0.365695
2.384715,0.411455
2.138776,-0.198851
1.905920,0.470864
1.244926,-0.901666
0.790915,-0.367683
2.147876,-0.479027
-0.263485,-0.582902
0.906565,0.847358
-1.468742,0.206165
2.807286,-0.515484
1.030602,0.689730
-0.640505,0.589975
1.328904,0.453810
-1.862786,0.992157
2.666448,0.202193
-1.487817,0.043647
2.120809,-0.737458
-1.202272,-0.314507
1.473076,0.387307
-0.274327,0.720948
2.963893,0.779012
2.067304,0.905494
-1.201011,0.403959
-1.888260,-0.370944
-1.349576,-0.713174
-1.062133,0.719554
-1.667773,0.311761
-0.607916,0.990385
-0.833685,0.148124
-1.500293,0.764145
0.193365,-0.264772
2.286164,0.769190
2.899004,0.554766
2.993313,-0.779845
0.682106,0.713497
2.975216,0.387835
2.118334,-0.449962
2.332225,-0.771830
2.011275,-0.601528
-1.529041,0.538104
-1.895104,0.183284
-1.077772,0.051045
1.146709,0.243758
0.561818,0.652124
0.457020,-0.790903
-0.890479,-0.565439
-1.051351,0.057544
-1.526218,-0.917711
-0.351669,-0.103789
0.003919,0.794779
1.403227,0.691402
1.575514,-0.193914
-1.926633,-0.947764
2.876173,-0.538951
1.578399,-0.940301
2.355801,-0.255085
2.100951,0.507318
2.191554,0.124079
-1.572761,0.257662
-1.838611,-0.515552
1.289638,-0.633959
0.282559,0.635992
0.217827,0.499882
2.815771,0.760738
2.401874,0.363474
1.884185,0.498330
2.373131,0.909516
-0.805369,-0.755443
2.380934,-0.005371
2.623712,0.239467
-0.161257,-0.948418
2.490694,-0.711144
-1.426256,0.445708
1.188670,-0.522818
1.168732,0.963195
-0.460323,0.288820
1.741879,0.017858
1.914276,0.545161
2.284275,-0.267547
0.949275,-0.899829
2.192486,0.511806
0.026767,0.330012
-0.969172,-0.582660
-1.456294,0.870693
2.718304,-0.235404
1.364267,0.062758
0.713014,-0.166628
1.430802,-0.489597
-1.259841,0.626809
-0.807704,-0.370781
1.875944,-0.828228
1.711659,-0.668847
1.073270,-0.345767
0.380102,0.717431
0.874627,-0.100401
-0.363065,-0.426906
-0.707894,0.728064
0.882280,0.304538
-1.355269,0.019693
1.169406,-0.597064
1.655622,-0.686399
-0.707076,0.362176
2.090114,0.736504
0.636270,0.191125
1.154359,0.390636
1.536779,0.773534
0.454878,-0.361213
0.768678,-0.241438
1.616393,0.485510
2.387800,0.144528
-1.861990,-0.508028
-1.417271,0.329993
1.884956,0.112938
2.685214,0.094989
-1.537077,0.565787
2.311530,0.204829
2.732648,-0.705742
2.242997,0.396877
-0.557577,-0.298136
1.578539,-0.754439
2.994654,0.284033
2.833193,-0.140947
1.908673,0.959652
0.188050,-0.438993
-0.659857,0.685627
-1.239769,0.591467
0.243543,0.252557
0.904161,0.423138
-1.354216,0.192238
1.634716,-0.273527
-1.443691,-0.506387
2.992108,-0.142639
-1.819268,-0.264808
1.743901,0.666089
-0.636436,0.146642
-0.347704,0.810725
1.953710,0.274850
-0.913202,0.193106
2.783869,-0.843872
0.910788,-0.062829
-1.527400,0.154207
0.535212,0.521025
0.952138,0.611833
2.734596,0.880885
-0.923565,-0.211858
1.807446,-0.016357
-1.251330,0.558472
2.514161,-0.311841
-0.355186,0.863084
2.516440,-0.544238
1.408527,-0.898280
-1.512366,0.712719
2.210173,-0.447744
1.843984,-0.289147
-0.983681,-0.619951
0.160628,-0.675806
-1.618064,-0.665831
-1.689473,0.461746
0.212672,0.572579
-1.320083,0.999879
1.127033,0.737762
-0.862392,-0.607064
2.781226,0.535458
-0.014748,-0.333364
1.671674,0.711522
2.410570,-0.447958
0.080734,0.932316
1.055793,0.349089
1.424564,-0.542068
1.601457,-0.134408
1.601844,-0.974499
2.627104,0.537663
0.267197,-0.219876
-0.061741,-0.862039
-1.440709,0.408845
1.813800,-0.735942
2.276365,0.620251
-1.716143,0.896044
0.809739,-0.449524
-1.190534,-0.089373
-1.351944,0.662954
-0.442855,0.246810
-0.583760,0.253187
0.945162,-0.589144
-0.347158,-0.966937
-1.324078,0.962967
1.976653,0.820107
2.939954,-0.474988
-1.699007,0.100729
0.345189,-0.245318
0.314534,0.457838
-0.919310,0.971982
